asset,pdf_source_image,visual_match_mse,old_bytes,new_bytes
dolomites-2.jpg,page-034.jpg,0.4262152910232544,339372,282928
dolomites-3.jpg,page-035.jpg,0.25810185074806213,343304,286058
dolomites-4.jpg,page-036.jpg,0.30570024251937866,346167,286731
dolomites-5.jpg,page-037.jpg,0.30237269401550293,338036,278984
dolomites-6.jpg,page-038.jpg,0.29629629850387573,355493,292466
dolomites-7.jpg,page-039.jpg,0.31915509700775146,351336,290178
dolomites-8.jpg,page-040.jpg,0.26851850748062134,364675,303048
dolomites-9.jpg,page-041.jpg,0.5151909589767456,347635,289367
maggiore-1.jpg,page-086.jpg,0.2964409589767456,380716,316819
maggiore-10.jpg,page-096.jpg,0.25,396660,334271
maggiore-11.jpg,page-097.jpg,0.2643229067325592,347961,292177
maggiore-12.jpg,page-098.jpg,0.27531829476356506,377938,316488
maggiore-13.jpg,page-100.jpg,0.2638888955116272,365305,308060
maggiore-14.jpg,page-101.jpg,0.2760416567325592,357802,300674
maggiore-2.jpg,page-088.jpg,0.2717013955116272,414584,347618
maggiore-3.jpg,page-089.jpg,0.32884839177131653,373691,312339
maggiore-4.jpg,page-090.jpg,0.3046875,351327,291500
maggiore-5.jpg,page-091.jpg,0.3003472089767456,368958,306654
maggiore-6.jpg,page-092.jpg,0.28660300374031067,360469,298503
maggiore-7.jpg,page-093.jpg,0.32450810074806213,383147,319792
maggiore-8.jpg,page-094.jpg,0.26359954476356506,404648,337911
maggiore-9.jpg,page-095.jpg,0.31626155972480774,351666,293904
venice-11.jpg,page-023.jpg,0.25810185074806213,317668,268615
venice-12.jpg,page-024.jpg,0.31799769401550293,340276,285941
venice-14.jpg,page-026.jpg,0.3485243022441864,330073,274282
venice-15.jpg,page-027.jpg,0.3567708432674408,360486,304591
venice-17.jpg,page-029.jpg,0.42780670523643494,362046,306640
venice-19.jpg,page-031.jpg,0.3294270932674408,331015,278625
venice-2.jpg,page-014.jpg,0.4266493022441864,278740,227829
venice-20.jpg,page-032.jpg,0.27271410822868347,330411,279203
venice-4.jpg,page-016.jpg,0.49797454476356506,292288,243078
venice-5.jpg,page-017.jpg,0.34534144401550293,355772,297905
venice-7.jpg,page-019.jpg,0.28804975748062134,300047,251515
venice-8.jpg,page-020.jpg,0.29528355598449707,374477,314203
venice-9.jpg,page-021.jpg,0.37138310074806213,325875,271234
venice-cover.jpg,page-013.jpg,0.24160879850387573,291988,237046
